epoch,step,global_step,loss
0,0,0,0.6781243085861206
0,1,1,0.6816235780715942
0,2,1,0.5664406418800354
0,3,2,0.5708132982254028
0,4,2,0.5277409553527832
0,5,3,0.6172237992286682
0,6,3,0.6499406099319458
0,7,4,0.6250290274620056
0,8,4,0.5221842527389526
0,9,5,0.581304669380188
0,10,5,0.590579628944397
0,11,6,0.6551299691200256
1,0,6,0.5562131404876709
1,1,7,0.5929714441299438
1,2,7,0.7004234790802002
1,3,8,0.7626978158950806
1,4,8,0.5492203235626221
1,5,9,0.7334776520729065
1,6,9,0.6474528312683105
1,7,10,0.6467148661613464
1,8,10,0.7187435030937195
1,9,11,0.621932864189148
1,10,11,0.6835995316505432
1,11,12,0.5982788801193237
2,0,12,0.8259774446487427
2,1,13,0.5876626968383789
2,2,13,0.6970620155334473
2,3,14,0.6845057606697083
2,4,14,0.5894582271575928
2,5,15,0.6287848949432373
2,6,15,0.5279040932655334
2,7,16,0.6240498423576355
2,8,16,0.5754279494285583
2,9,17,0.5552521347999573
2,10,17,0.5970237851142883
2,11,18,0.6811212301254272
3,0,18,0.6187845468521118
3,1,19,0.7211320996284485
3,2,19,0.5928211808204651
3,3,20,0.7597652077674866
3,4,20,0.5423444509506226
3,5,21,0.6654113531112671
3,6,21,0.5914592742919922
3,7,22,0.6656063795089722
3,8,22,0.5688786506652832
3,9,23,0.5887821912765503
3,10,23,0.6296163201332092
3,11,24,0.5932524800300598
4,0,24,0.8514490127563477
4,1,25,0.4861021637916565
4,2,25,0.5739282369613647
4,3,26,0.5475888848304749
4,4,26,1.0534110069274902
4,5,27,0.6694031357765198
4,6,27,0.6581661701202393
4,7,28,0.6266704797744751
4,8,28,0.6640133857727051
4,9,29,0.7769554257392883
4,10,29,0.5776661038398743
4,11,30,0.6361883282661438
5,0,30,0.517483115196228
5,1,31,0.6428948044776917
5,2,31,0.5549667477607727
5,3,32,0.6927552819252014
5,4,32,0.9617668390274048
5,5,33,0.5997897386550903
5,6,33,0.7390847206115723
5,7,34,0.7905565500259399
5,8,34,0.6705445051193237
5,9,35,0.6589875221252441
5,10,35,1.0476539134979248
5,11,36,0.5645487904548645
6,0,36,0.7974372506141663
6,1,37,0.6539342403411865
6,2,37,0.6307234764099121
6,3,38,0.6245335340499878
6,4,38,0.5192276239395142
6,5,39,0.8057411909103394
6,6,39,0.5990262031555176
6,7,40,0.7516919374465942
6,8,40,0.6332706809043884
6,9,41,0.5812027454376221
6,10,41,0.56585693359375
6,11,42,1.0618743896484375
7,0,42,0.6843824982643127
7,1,43,0.738802433013916
7,2,43,0.6200835108757019
7,3,44,0.5611156225204468
7,4,44,0.5345345735549927
7,5,45,0.6062449812889099
7,6,45,0.5590639114379883
7,7,46,0.6861960887908936
7,8,46,0.5294054746627808
7,9,47,0.517358124256134
7,10,47,0.5614858269691467
7,11,48,0.6065912246704102
8,0,48,0.5138629078865051
8,1,49,0.6478784084320068
8,2,49,0.6753910779953003
8,3,50,0.555953860282898
8,4,50,0.8442283868789673
8,5,51,0.5729870200157166
8,6,51,0.5675215721130371
8,7,52,0.8137962818145752
8,8,52,0.7749372124671936
8,9,53,0.5534281730651855
8,10,53,0.6982018947601318
8,11,54,0.556830883026123
9,0,54,0.5980947017669678
9,1,55,0.5133213996887207
9,2,55,0.7410170435905457
9,3,56,0.5698773264884949
9,4,56,0.5352770090103149
9,5,57,0.7045927047729492
9,6,57,0.5406301021575928
9,7,58,0.9554080963134766
9,8,58,0.6207038760185242
9,9,59,0.5313105583190918
9,10,59,0.5939255952835083
9,11,60,0.5613322257995605
10,0,60,0.592915952205658
10,1,61,1.0008984804153442
10,2,61,0.7383471727371216
10,3,62,0.6992864012718201
10,4,62,0.561870276927948
10,5,63,0.6022053956985474
10,6,63,0.607054591178894
10,7,64,0.7220213413238525
10,8,64,0.6902784705162048
10,9,65,0.7159892320632935
10,10,65,0.5343642830848694
10,11,66,0.614881157875061
11,0,66,0.6063035726547241
11,1,67,0.7085161209106445
11,2,67,0.7079493999481201
11,3,68,0.6217818260192871
11,4,68,0.8397577404975891
11,5,69,0.6388485431671143
11,6,69,0.5769745111465454
11,7,70,0.6643702983856201
11,8,70,0.6174211502075195
11,9,71,0.587868332862854
11,10,71,0.6671583652496338
11,11,72,0.5852357149124146
12,0,72,0.6146647930145264
12,1,73,0.6421816349029541
12,2,73,0.781619131565094
12,3,74,0.7509932518005371
12,4,74,0.7130841612815857
12,5,75,0.6871283650398254
12,6,75,0.7145669460296631
12,7,76,0.9073435664176941
12,8,76,0.5278373956680298
12,9,77,0.6199937462806702
12,10,77,0.5659247636795044
12,11,78,0.6494179368019104
13,0,78,0.7156721353530884
13,1,79,0.5764009952545166
13,2,79,0.48961547017097473
13,3,80,0.7679625153541565
13,4,80,0.5732319951057434
13,5,81,0.5903287529945374
13,6,81,0.5426090955734253
13,7,82,0.5175797343254089
13,8,82,0.6132680773735046
13,9,83,0.6166150569915771
13,10,83,0.5523278713226318
13,11,84,0.8202753067016602
14,0,84,0.5041624903678894
14,1,85,0.5717622637748718
14,2,85,0.7155945301055908
14,3,86,0.5593107342720032
14,4,86,0.9127295017242432
14,5,87,0.6566274762153625
14,6,87,0.9566404819488525
14,7,88,0.5559743046760559
14,8,88,0.8681840300559998
14,9,89,0.5438936948776245
14,10,89,0.703555166721344
14,11,90,0.533827006816864
15,0,90,0.6248084902763367
15,1,91,0.7080987691879272
15,2,91,0.6843048334121704
15,3,92,0.7355517148971558
15,4,92,0.5761411786079407
15,5,93,0.6986744403839111
15,6,93,0.7571795582771301
15,7,94,0.6081463694572449
15,8,94,0.7414983510971069
15,9,95,0.5791134238243103
15,10,95,0.5168807506561279
15,11,96,0.47443047165870667
16,0,96,0.8358341455459595
16,1,97,0.536168098449707
16,2,97,0.535342812538147
16,3,98,0.7459279894828796
16,4,98,0.5944505333900452
16,5,99,0.5030167102813721
16,6,99,0.7954366207122803
16,7,100,0.5239865779876709
16,8,100,0.8020982146263123
16,9,101,0.47619205713272095
16,10,101,0.5993508100509644
16,11,102,0.6251939535140991
17,0,102,0.6953495144844055
17,1,103,0.5269579887390137
17,2,103,0.5689292550086975
17,3,104,0.8751124143600464
17,4,104,0.618764340877533
17,5,105,0.6894344687461853
17,6,105,0.7073754072189331
17,7,106,0.6614099740982056
17,8,106,0.5280842781066895
17,9,107,0.6208771467208862
17,10,107,0.6800830364227295
17,11,108,0.6045193076133728
18,0,108,0.6385121941566467
18,1,109,0.6233584880828857
18,2,109,0.6003867387771606
18,3,110,0.5259848237037659
18,4,110,0.5464439988136292
18,5,111,0.6248506307601929
18,6,111,0.7661055326461792
18,7,112,0.6096824407577515
18,8,112,0.5657662153244019
18,9,113,0.7765293121337891
18,10,113,0.5493142604827881
18,11,114,0.6117177605628967
19,0,114,0.7055490612983704
19,1,115,0.5695253610610962
19,2,115,0.4802098870277405
19,3,116,0.5159936547279358
19,4,116,0.5336734056472778
19,5,117,0.5382230281829834
19,6,117,0.7100940942764282
19,7,118,0.6220310926437378
19,8,118,0.812089204788208
19,9,119,0.6555643677711487
19,10,119,0.5633766651153564
19,11,120,0.5801842212677002
20,0,120,0.770484447479248
20,1,121,0.6836098432540894
20,2,121,0.635682225227356
20,3,122,0.6611554622650146
20,4,122,0.5273908972740173
20,5,123,0.5818915963172913
20,6,123,0.6209286451339722
20,7,124,0.8148219585418701
20,8,124,0.7383208274841309
20,9,125,0.829206109046936
20,10,125,0.7207913994789124
20,11,126,0.6146836280822754
21,0,126,0.5677331686019897
21,1,127,0.6398481130599976
21,2,127,0.6140350103378296
21,3,128,0.8017675876617432
21,4,128,0.8400328159332275
21,5,129,0.6239972114562988
21,6,129,0.6621630191802979
21,7,130,0.6517064571380615
21,8,130,0.8096673488616943
21,9,131,1.0170279741287231
21,10,131,0.6097737550735474
21,11,132,0.6694008708000183
22,0,132,0.7132755517959595
22,1,133,0.6257917284965515
22,2,133,0.6270997524261475
22,3,134,0.9092750549316406
22,4,134,0.5125333070755005
22,5,135,0.5531386733055115
22,6,135,0.6081372499465942
22,7,136,0.5526851415634155
22,8,136,0.7396910786628723
22,9,137,0.6185517311096191
22,10,137,0.7620621919631958
22,11,138,1.031280517578125
23,0,138,0.6355634331703186
23,1,139,0.508348822593689
23,2,139,0.6091033220291138
23,3,140,0.6458053588867188
23,4,140,0.650151252746582
23,5,141,0.5985466837882996
23,6,141,0.7385486960411072
23,7,142,0.6095485687255859
23,8,142,0.6671304106712341
23,9,143,0.6788561344146729
23,10,143,0.707243800163269
23,11,144,0.7656600475311279
24,0,144,0.5526766777038574
24,1,145,0.6662468910217285
24,2,145,0.6151025295257568
24,3,146,0.611294686794281
24,4,146,0.7361541986465454
24,5,147,0.9186179041862488
24,6,147,1.0881948471069336
24,7,148,0.7985216379165649
24,8,148,0.6564655900001526
24,9,149,0.5967606902122498
24,10,149,0.6087610721588135
24,11,150,0.536349356174469
25,0,150,0.9236660003662109
25,1,151,0.5284748673439026
25,2,151,0.6775691509246826
25,3,152,0.5544243454933167
25,4,152,0.6382677555084229
25,5,153,0.6198212504386902
25,6,153,0.5153302550315857
25,7,154,0.8783078193664551
25,8,154,0.764724612236023
25,9,155,0.5715289115905762
25,10,155,0.6561675071716309
25,11,156,0.5235352516174316
26,0,156,0.8660610914230347
26,1,157,0.6647636294364929
26,2,157,0.662302553653717
26,3,158,0.5753984451293945
26,4,158,0.5160443186759949
26,5,159,0.7178296446800232
26,6,159,0.6606603264808655
26,7,160,0.5940814018249512
26,8,160,0.8238130211830139
26,9,161,0.6665573716163635
26,10,161,0.5454912185668945
26,11,162,0.8022329807281494
27,0,162,0.5776640176773071
27,1,163,0.6226310729980469
27,2,163,0.8438250422477722
27,3,164,0.7191247940063477
27,4,164,0.658229410648346
27,5,165,0.7296470999717712
27,6,165,0.6240592002868652
27,7,166,0.6269060373306274
27,8,166,0.5817252993583679
27,9,167,0.5153907537460327
27,10,167,0.5885484218597412
27,11,168,0.5536011457443237
28,0,168,0.5601175427436829
28,1,169,0.7536401748657227
28,2,169,0.6766253709793091
28,3,170,0.5307379961013794
28,4,170,0.5211591720581055
28,5,171,0.7221603393554688
28,6,171,0.6652803421020508
28,7,172,0.5851802229881287
28,8,172,0.5590258836746216
28,9,173,0.6794319748878479
28,10,173,0.48513710498809814
28,11,174,0.7185174822807312
29,0,174,0.6950914859771729
29,1,175,0.4841832220554352
29,2,175,0.516563355922699
29,3,176,0.7550218105316162
29,4,176,0.6411150693893433
29,5,177,0.7657279968261719
29,6,177,0.5750548839569092
29,7,178,0.6800351142883301
29,8,178,0.5454134941101074
29,9,179,0.6624568104743958
29,10,179,0.5254207849502563
29,11,180,0.5765854716300964
30,0,180,0.5376488566398621
30,1,181,0.5065561532974243
30,2,181,0.5930026173591614
30,3,182,0.6473802328109741
30,4,182,0.5875035524368286
30,5,183,0.6739425659179688
30,6,183,0.713923454284668
30,7,184,0.5719318389892578
30,8,184,1.012512445449829
30,9,185,0.7172650098800659
30,10,185,0.635138750076294
30,11,186,0.6468998193740845
31,0,186,0.5637101531028748
31,1,187,0.580395519733429
31,2,187,0.6017357110977173
31,3,188,0.5944329500198364
31,4,188,0.5770972967147827
31,5,189,0.6158317923545837
31,6,189,0.7546550631523132
31,7,190,0.6071087121963501
31,8,190,0.5412124395370483
31,9,191,0.6233208775520325
31,10,191,0.6608814001083374
31,11,192,0.6925593614578247
32,0,192,0.5225590467453003
32,1,193,0.6097353100776672
32,2,193,0.6911379098892212
32,3,194,0.5073951482772827
32,4,194,0.7243062853813171
32,5,195,0.6238730549812317
32,6,195,0.48783525824546814
32,7,196,0.6367443203926086
32,8,196,0.6252586245536804
32,9,197,0.5322186350822449
32,10,197,0.9092219471931458
32,11,198,0.6989212036132812
33,0,198,0.7336007356643677
33,1,199,0.6441062092781067
33,2,199,0.5762589573860168
33,3,200,0.4754655957221985
33,4,200,0.7095661759376526
33,5,201,0.6319360733032227
33,6,201,0.5448974370956421
33,7,202,0.671012818813324
33,8,202,0.6629544496536255
33,9,203,0.5310393571853638
33,10,203,0.5430959463119507
33,11,204,0.6221092939376831
34,0,204,0.617477536201477
34,1,205,0.52293860912323
34,2,205,0.7336466312408447
34,3,206,0.7659415006637573
34,4,206,0.5311609506607056
34,5,207,0.5758095979690552
34,6,207,0.6935817003250122
34,7,208,0.6451548337936401
34,8,208,0.6415939331054688
34,9,209,0.6433936953544617
34,10,209,0.6549680829048157
34,11,210,0.6427232027053833
35,0,210,0.5411384105682373
35,1,211,0.5343843698501587
35,2,211,0.7169195413589478
35,3,212,0.5971449017524719
35,4,212,0.9345129728317261
35,5,213,0.6371542811393738
35,6,213,0.5779951810836792
35,7,214,0.6748412847518921
35,8,214,0.6022312641143799
35,9,215,0.5284394025802612
35,10,215,0.593454897403717
35,11,216,0.6016360521316528
36,0,216,0.6174809336662292
36,1,217,0.7054876685142517
36,2,217,0.5876604318618774
36,3,218,0.6424863338470459
36,4,218,0.5045714378356934
36,5,219,0.657272458076477
36,6,219,0.6991980671882629
36,7,220,0.5806325674057007
36,8,220,0.5617705583572388
36,9,221,0.7965785264968872
36,10,221,0.5515356063842773
36,11,222,0.6885519027709961
37,0,222,0.7672716379165649
37,1,223,0.5666226744651794
37,2,223,0.7434234619140625
37,3,224,0.5073050260543823
37,4,224,0.7860263586044312
37,5,225,0.890998899936676
37,6,225,0.5256713628768921
37,7,226,0.5675552487373352
37,8,226,0.5938730239868164
37,9,227,0.6386165618896484
37,10,227,0.724364161491394
37,11,228,0.6163250207901001
38,0,228,0.6405707597732544
38,1,229,0.6600679159164429
38,2,229,0.602990984916687
38,3,230,0.5772305130958557
38,4,230,0.5862622857093811
38,5,231,0.626565158367157
38,6,231,0.9220873117446899
38,7,232,0.6652125120162964
38,8,232,0.6406314373016357
38,9,233,0.7500401735305786
38,10,233,0.5029736161231995
38,11,234,0.5190708637237549
39,0,234,0.6521192789077759
39,1,235,0.6112010478973389
39,2,235,0.6169207692146301
39,3,236,0.6712705492973328
39,4,236,0.7374958992004395
39,5,237,0.6154651641845703
39,6,237,0.6299422383308411
39,7,238,0.6673816442489624
39,8,238,0.6741049289703369
39,9,239,0.9791484475135803
39,10,239,0.6275966167449951
39,11,240,0.5970622301101685
40,0,240,0.6822047233581543
40,1,241,0.5763996839523315
40,2,241,0.6753854751586914
40,3,242,0.6544398665428162
40,4,242,0.6809492707252502
40,5,243,0.767751157283783
40,6,243,0.5673028230667114
40,7,244,0.6214132308959961
40,8,244,0.7621408700942993
40,9,245,1.0669938325881958
40,10,245,0.47739553451538086
40,11,246,0.711871325969696
41,0,246,0.6207965612411499
41,1,247,0.6131028532981873
41,2,247,0.658096432685852
41,3,248,0.6544333696365356
41,4,248,0.6100857257843018
41,5,249,0.6189658641815186
41,6,249,1.0459401607513428
41,7,250,0.6161667108535767
41,8,250,0.6380722522735596
41,9,251,0.6186652183532715
41,10,251,0.6976715922355652
41,11,252,0.6857330799102783
42,0,252,0.6215349435806274
42,1,253,0.5292229652404785
42,2,253,0.667722225189209
42,3,254,0.5933563709259033
42,4,254,0.6802061796188354
42,5,255,0.7841053009033203
42,6,255,0.5635271668434143
42,7,256,0.9426089525222778
42,8,256,0.5424320101737976
42,9,257,0.4979219436645508
42,10,257,0.9894978404045105
42,11,258,0.5230543613433838
43,0,258,0.6085677742958069
43,1,259,0.5973240733146667
43,2,259,0.6558526754379272
43,3,260,0.6133143901824951
43,4,260,0.5386853218078613
43,5,261,0.477976530790329
43,6,261,0.6151506304740906
43,7,262,0.6458663940429688
43,8,262,0.6063356399536133
43,9,263,0.6658408045768738
43,10,263,0.9127885103225708
43,11,264,0.7067058682441711
44,0,264,0.6786507368087769
44,1,265,1.019623875617981
44,2,265,0.5289996862411499
44,3,266,0.6287206411361694
44,4,266,0.648841142654419
44,5,267,0.7313355207443237
44,6,267,0.5389876961708069
44,7,268,0.666191041469574
44,8,268,0.6048782467842102
44,9,269,0.574148952960968
44,10,269,0.725926399230957
44,11,270,0.6826466917991638
45,0,270,0.6771065592765808
45,1,271,0.8344895839691162
45,2,271,0.6454914808273315
45,3,272,0.8038322925567627
45,4,272,0.5680937767028809
45,5,273,0.5600279569625854
45,6,273,0.6506369113922119
45,7,274,0.5874583721160889
45,8,274,0.6869224309921265
45,9,275,0.5630956888198853
45,10,275,0.7210625410079956
45,11,276,0.6339384317398071
46,0,276,0.5101451873779297
46,1,277,0.5853672623634338
46,2,277,0.5273427367210388
46,3,278,0.5334508419036865
46,4,278,0.6520570516586304
46,5,279,0.8030788898468018
46,6,279,0.6379590034484863
46,7,280,0.5806691646575928
46,8,280,0.6105362772941589
46,9,281,0.6703248620033264
46,10,281,0.8065919280052185
46,11,282,0.6975286602973938
47,0,282,0.5951436758041382
47,1,283,0.5042843818664551
47,2,283,0.7145472764968872
47,3,284,0.6944940090179443
47,4,284,0.7129566669464111
47,5,285,0.600351095199585
47,6,285,1.0460355281829834
47,7,286,0.5895712971687317
47,8,286,0.7013691663742065
47,9,287,0.4789888262748718
47,10,287,0.6697340607643127
47,11,288,0.5249907374382019
48,0,288,0.4939490854740143
48,1,289,0.6969056725502014
48,2,289,0.6282508373260498
48,3,290,0.84859699010849
48,4,290,0.6926573514938354
48,5,291,0.6004848480224609
48,6,291,0.7183881998062134
48,7,292,0.7889938354492188
48,8,292,0.6332857608795166
48,9,293,0.575147807598114
48,10,293,0.5843247175216675
48,11,294,0.5376070737838745
49,0,294,0.6691792607307434
49,1,295,0.5772042870521545
49,2,295,0.6716508865356445
49,3,296,0.6099349856376648
49,4,296,0.8167518377304077
49,5,297,0.6005128622055054
49,6,297,0.8225679397583008
49,7,298,0.5446877479553223
49,8,298,0.6225227117538452
49,9,299,0.5798314809799194
49,10,299,0.8331738710403442
49,11,300,0.6866704225540161
